YearsExperience,Salary
1.2000000000000002,39344.0
1.4000000000000001,46206.0
1.6,37732.0
2.1,43526.0
2.3000000000000003,39892.0
3.0,56643.0
3.1,60151.0
3.3000000000000003,54446.0
3.3000000000000003,64446.0
3.8000000000000003,57190.0
4.0,63219.0
4.1,55795.0
4.1,56958.0
4.199999999999999,57082.0
4.6,61112.0
5.0,67939.0
5.199999999999999,66030.0
5.3999999999999995,83089.0
6.0,81364.0
6.1,93941.0
6.8999999999999995,91739.0
7.199999999999999,98274.0
8.0,101303.0
8.299999999999999,113813.0
8.799999999999999,109432.0
9.1,105583.0
9.6,116970.0
9.7,112636.0
10.4,122392.0
10.6,121873.0
